ServiceStep,CylinderNumber
0,2505
1,2507
2,2513
3,2513
4,2515
5,2526
6,2540
7,2542
8,2544
9,2553
10,2556
11,2560
12,2566
13,2571
14,2581
15,2583
16,2583
17,2588
18,2591
19,2593
20,2600
21,2604
22,2611
23,2613
24,2615
25,2623
26,2623
27,2638
28,2641
29,2648
30,2654
31,2656
32,2670
33,2671
34,2678
35,2685
36,2696
37,2696
38,2698
39,2699
40,2703
41,2707
42,2712
43,2713
44,2713
45,2728
46,2729
47,2733
48,2739
49,2743
50,2746
51,2747
52,2763
53,2764
54,2764
55,2768
56,2769
57,2771
58,2776
59,2780
60,2784
61,2790
62,2791
63,2792
64,2806
65,2806
66,2809
67,2816
68,2816
69,2830
70,2838
71,2841
72,2842
73,2850
74,2852
75,2857
76,2860
77,2861
78,2866
79,2867
80,2877
81,2879
82,2884
83,2891
84,2894
85,2902
86,2903
87,2906
88,2916
89,2918
90,2921
91,2928
92,2933
93,2949
94,2954
95,2954
96,2956
97,2959
98,2962
99,2963
100,2984
101,2989
102,2993
103,2994
104,3005
105,3012
106,3022
107,3029
108,3032
109,3035
110,3037
111,3047
112,3049
113,3057
114,3058
115,3058
116,3059
117,3075
118,3079
119,3079
120,3087
121,3091
122,3091
123,3091
124,3100
125,3114
126,3116
127,3121
128,3129
129,3129
130,3137
131,3139
132,3144
133,3146
134,3155
135,3159
136,3161
137,3165
138,3167
139,3167
140,3171
141,3175
142,3181
143,3182
144,3182
145,3187
146,3187
147,3191
148,3210
149,3212
150,3216
151,3225
152,3225
153,3227
154,3234
155,3238
156,3246
157,3248
158,3248
159,3249
160,3254
161,3255
162,3257
163,3259
164,3278
165,3285
166,3288
167,3293
168,3299
169,3300
170,3312
171,3317
172,3329
173,3344
174,3344
175,3344
176,3355
177,3360
178,3360
179,3362
180,3378
181,3383
182,3385
183,3387
184,3399
185,3401
186,3403
187,3405
188,3408
189,3415
190,3416
191,3419
192,3421
193,3440
194,3442
195,3454
196,3459
197,3462
198,3464
199,3473
200,3477
201,3477
202,3478
203,3478
204,3479
205,3479
206,3480
207,3481
208,3483
209,3484
210,3485
211,3497
212,3501
213,3504
214,3509
215,3512
216,3515
217,3518
218,3525
219,3529
220,3531
221,3534
222,3540
223,3540
224,3544
225,3553
226,3555
227,3556
228,3560
229,3561
230,3566
231,3572
232,3572
233,3604
234,3608
235,3609
236,3612
237,3629
238,3630
239,3636
240,3641
241,3645
242,3648
243,3650
244,3658
245,3659
246,3675
247,3676
248,3685
249,3685
250,3689
251,3699
252,3703
253,3704
254,3720
255,3720
256,3721
257,3730
258,3732
259,3736
260,3738
261,3753
262,3754
263,3761
264,3766
265,3772
266,3776
267,3777
268,3789
269,3803
270,3807
271,3808
272,3816
273,3835
274,3842
275,3849
276,3854
277,3856
278,3861
279,3875
280,3882
281,3885
282,3898
283,3899
284,3906
285,3925
286,3926
287,3948
288,3950
289,3957
290,3974
291,3975
292,3978
293,3982
294,3991
295,3991
296,4004
297,4010
298,4010
299,4015
300,4017
301,4018
302,4034
303,4034
304,4037
305,4040
306,4041
307,4046
308,4047
309,4050
310,4056
311,4064
312,4072
313,4077
314,4082
315,4086
316,4090
317,4102
318,4103
319,4109
320,4113
321,4113
322,4132
323,4139
324,4143
325,4162
